1369853618004	9
1369853623009	381
1369853628017	381
1369853632606	9
1369853633264	9
1369853640990	352
1369853641058	1397
1369853641157	2221
1369853641210	112
1369853641299	1462
1369853641330	500
1369853641431	453
1369853641467	2
1369853641538	1697
1369853641605	205
1369853641679	940
1369853641738	736
1369853641838	1155
1369853641885	136
1369853641946	2
1369853642011	639
1369853642082	749
1369853642151	9
1369853649049	9
1369853650584	9
1369853657978	9
1369853660916	259
1369853660952	2
1369853660986	424
1369853661023	1554
1369853661069	112
1369853661294	788
1369853661322	632
1369853661354	574
1369853661409	901
1369853661446	450
1369853661533	494
1369853661567	1900
1369853661622	1491
1369853661655	1123
1369853661795	48
1369853661845	36
1369853661884	1440
1369853661965	1100
1369853662004	1143
1369853662042	1018
1369853662185	1582
1369853662235	9
1369853670794	232
1369853670850	116
1369853670927	251
1369853670993	131
1369853671059	214
1369853671127	2
1369853671192	582
1369853671265	523
1369853671331	899
1369853671395	2
1369853671464	982
1369853671536	2959
1369853671602	104
1369853671675	418
1369853671734	231
1369853671815	154
1369853671872	1398
1369853671937	2
1369853672010	1567
1369853672078	263
1369853672170	567
1369853672248	9
1369853678818	9
1369853685074	1197
1369853685238	610
1369853685269	154
1369853685299	248
1369853685694	1
1369853685721	657
1369853685752	770
1369853685787	577
1369853685841	61
1369853685923	298
1369853685960	185
1369853685993	358
1369853686134	196
1369853686167	1371
1369853686245	1391
1369853686277	1859
1369853686321	1398
1369853686356	559
1369853686390	9
1369853689890	636
1369853689962	106
1369853690061	564
1369853690131	910
1369853690167	328
1369853690392	529
1369853690436	162
1369853690474	68
1369853690507	941
1369853690546	855
1369853690582	329
1369853690648	1220
1369853690715	551
1369853690798	390
1369853690845	863
1369853690920	1213
1369853690984	442
1369853691050	354
1369853691123	1287
1369853691982	2507
1369853692091	215
1369853692127	9
1369853693322	9
1369853694812	10
1369853694846	1600
1369853694877	39
1369853695033	370
1369853695063	750
1369853695092	237
1369853695124	834
1369853695176	541
1369853695243	413
1369853695315	200
1369853695389	2152
1369853695461	393
1369853695526	970
1369853695586	1557
1369853695649	2
1369853695721	546
1369853695837	1576
1369853695879	2577
1369853695926	2076
1369853695999	158
1369853696095	288
1369853696129	143
1369853696211	714
1369853696268	107
1369853696334	169
1369853696409	976
1369853696471	9
1369853698080	527
1369853698110	787
1369853698225	612
1369853698314	1075
1369853698344	2
1369853698379	721
1369853698439	609
1369853698500	658
1369853698579	1226
1369853698686	1493
1369853698723	553
1369853698781	182
1369853698897	1279
1369853698930	3325
1369853698979	2
1369853699066	1179
1369853699116	111
1369853699182	293
1369853699268	101
1369853699319	690
1369853699390	301
1369853699459	403
1369853699523	306
1369853699595	594
1369853699665	1256
1369853699735	1408
1369853699800	9
1369853709509	9
1369853715960	137
1369853715989	345
1369853716023	1590
1369853716097	315
1369853716136	201
1369853716237	83
1369853716269	358
1369853716316	1391
1369853716556	405
1369853716588	294
1369853716618	316
1369853716774	1567
1369853716806	485
1369853716842	520
1369853716985	87
1369853717018	752
1369853717068	172
1369853717121	567
1369853717197	9
1369853720703	9
1369853728006	664
1369853728036	1573
1369853728091	600
1369853728159	574
1369853728222	353
1369853728300	860
1369853728367	68
1369853728430	75
1369853728499	287
1369853728567	785
1369853728654	1074
1369853728714	190
1369853728790	306
1369853728882	94
1369853728932	702
1369853728983	178
1369853729050	230
1369853729120	1760
1369853729183	479
1369853729253	504
1369853729317	2
1369853729391	132
1369853729495	1944
1369853729532	40
1369853729593	911
1369853729662	398
1369853729734	13
1369853729848	690
1369853729887	791
1369853729980	128
1369853730013	526
1369853730074	888
1369853730137	2
1369853730239	9
1369853732361	9
1369853736545	9
1369853741678	9
1369853747474	726
1369853747506	698
1369853747552	553
1369853747673	1208
1369853747752	278
1369853747846	1060
1369853747891	621
1369853748037	1404
1369853748072	174
1369853748168	805
1369853748203	1229
1369853748252	1407
1369853748286	1421
1369853748480	1299
1369853748521	1248
1369853748554	1163
1369853748710	658
1369853748755	667
1369853748794	162
1369853748914	796
1369853748943	9
1369853754265	9
1369853756757	342
1369853757148	716
1369853757180	1515
1369853757214	311
1369853757248	983
1369853757402	68
1369853757435	341
1369853757502	282
1369853757587	971
1369853757625	42
1369853757659	294
1369853757810	739
1369853757859	1484
1369853757943	123
1369853757978	1031
1369853758029	773
1369853758061	399
1369853758145	1304
1369853758246	935
1369853758284	1345
1369853758314	97
1369853758692	371
1369853758724	2
1369853758755	266
1369853758788	9
1369853764459	9
1369853769754	9
1369853773397	232
1369853773427	803
1369853773461	225
1369853773562	388
1369853773600	291
1369853773635	479
1369853773787	1809
1369853773825	1695
